Edin Džeko
Lautaro Martínez
Stefan de Vrij
Thiago Silva
Luiz Frello Filho Jorge
Wilfred Ndidi
Kasper Schmeichel
Roberto Firmino
Kyle Walker
Ilkay Gündogan
Moussa Diaby
Ibrahim Sangaré
Karl Toko Ekambi
Amadou Diawara
Steven Bergwijn
Luis Milla Manzanares
Fabián Ruiz Peña
Jonas Hofmann
Ismaïla Sarr
Burak Yilmaz
Leeroy Owusu
Rafa Soares
Gonçalo Inácio
Max Lowe
Ben Davies
Tyrone Mings
Lars Stindl
Steven Berghuis
Renato Sanches
Marcus Edwards
Domenico Berardi
Anthony Lopes
James Maddison
Robin Le Normand
Ander Capa Rodríguez
Reece Oxford
Maxwel Cornet
Jonathan Clauss
Julián Álvarez
Kurt Zouma
Florian Neuhaus
Reguilón
Moussa Dembélé
Emile Smith Rowe
Dayot Upamecano
Declan Rice
Michail Antonio
Frank Onyeka
James Tavernier
Reece James
Joaquín Correa
Maximilian Arnold
Andy Delort
Kevin Trapp
Anderson Talisca
Raphael Dias Belloli
Hirving Lozano
Cristian Romero
Hamari Traoré
Ryan Gravenberch
Sandro Tonali
Nordi Mukiele
Arnaut Danjuma
Iñaki Williams Arthuer
Damián Suárez
Ben Chilwell
Tanguy Ndombele
Stephan El Shaarawy
Max Kruse
Edmond Tapsoba
Matteo Politano
Maximilian Arnold
Giovanni Simeone
Anderson Talisca
Christopher Nkunku
Jonathan David
André Silva
Manuel Locatelli
Luis Alberto
Felipe Anderson
Gustavo Bou
Josip Iličić
André Silva
Yassine Bounou
Jesús Navas González
Marcos Acuña
Steven Berghuis
Manuel Locatelli
Davidson da Luz Pereira
Saúl Ñíguez Esclápez
Denzel Dumfries
Filip Kostić
Ivan Toney
Pedro Porro
Georginio Wijnaldum
Kieran Trippier
Stefan Savić
Felipe
José María Giménez
Yannick Carrasco
Fernando Reges
Gerard Piqué Bernabeu
Youri Tielemans
Ricardo Barbosa Pereira
David Alaba
Mike Maignan
Franck Yannick Kessié
Theo Hernández
Dries Mertens
Dušan Tadić
Nabil Fekir
Wissam Ben Yedder
Iago Aspas Juncal
Marcel Sabitzer
Leroy Sané
Harry Maguire
David De Gea Quintana
Luke Shaw
Guerreiro
Emiliano Martínez
Matthias Ginter
Nicolò Barella
Marcelo Brozovic
Timo Werner
Kai Havertz
Hakim Ziyech
Zlatan Ibrahimović
Lucas Digne
Jordan Henderson
Jack Grealish
Phil Foden
Rafael Tolói
Erik Botheim
Ibrahim Sangaré
Andrés Iniesta Luján
Mohammed Kudus
Francesco Acerbi
Everton Sousa Soares
Pedro Teixeira
Josh Pask
Ogechika Heil
Robin Gosens
Duván Zapata
Benjamin André
Issa Diop
Jonny Evans
Angelo Ogbonna
Téji Savanier
Gaëtan Laborde
Jordan Amavi
Jesper Karlsson
Renaud Ripart
Gianluigi Buffon
Nick Pope
Paulinho
Carlos Vela
Mikel Merino Zazón
Angeliño
Jules Koundé
Lucas Ocampos
José Luís Gayà Peña
Sergio Asenjo Andrés
Leonardo Spinazzola
Henrikh Mkhitaryan
Federico Chiesa
Alex Sandro Lobo Silva
Morata
Arthur
Juan Cuadrado
Donyell Malen
Denis Zakaria
Victor Osimhen
Andrej Kramarić
Luis Díaz
Sebastián Coates
Mauro Icardi
Presnel Kimpembe
Wout Weghorst
João Félix Sequeira
Ángel Correa
Thomas Lemar
Ousmane Dembélé
Edin Džeko
Vinícius Júnior
Marco Asensio
Ferland Mendy
Federico Valverde
Simon Kjær
Iker Muniain Goñi
Kostas Manolas
Sergio Canales Madrazo
Kevin Volland
Raúl Jiménez
Bernd Leno
Thomas Partey
Lucas Hernández
Aaron Wan-Bissaka
Axel Witsel
Antonio Rüdiger
Mateo Kovacic
Édouard Mendy
Mason Mount
Azpilicueta
Jordan Pickford
Allan Marques Loureiro
Pierre-Emile Højbjerg
Joel Matip
Lukáš Hrádecký
Fernandinho
Gabriel Jesus
John Stones
Ángel Mena
Jonas Hector
Héctor Bellerín Moruno
Sergi Darder Moll
Enis Bardhi
Xherdan Shaqiri
Alex Teixeira
Wilson Manafá
Jude Bellingham
Lucas Veríssimo
Hamari Traoré
Mario Pašalic
Amine Gouiri
Krépin Diatta
Joakim Mæhle
Antonio Candreva
Christian Günter
Duje Caleta-Car
Taremi
Tom Barkhuizen
Dušan Vlahovic
Vincenzo Grifo
Camavinga
Anderson Talisca
Alban Lafont
Aurélien Tchouaméni
